item,category,store,stock,avg_daily_sales,expiry_date,shelf_life,item_risk_level
Milk,Dairy,Store A,120,18,2025-07-13,1,High
Yogurt,Dairy,Store B,80,10,2025-07-14,2,High
Cheese,Dairy,Store C,100,8,2025-07-15,3,Medium
Paneer,Dairy,Store D,60,5,2025-07-13,1,High
Eggs,Protein,Store A,70,12,2025-07-13,1,High
Chicken,Protein,Store B,55,12,2025-07-12,0,High
Fish,Protein,Store C,30,9,2025-07-12,0,High
Tofu,Protein,Store D,50,7,2025-07-16,4,Medium
Apple,Fruit,Store A,60,10,2025-07-11,0,High
Banana,Fruit,Store B,80,14,2025-07-13,1,High
Orange,Fruit,Store C,45,10,2025-07-13,1,High
Watermelon,Fruit,Store D,20,6,2025-07-14,2,High
Spinach,Vegetable,Store A,30,6,2025-07-11,0,High
Tomato,Vegetable,Store B,65,13,2025-07-11,0,High
Lettuce,Vegetable,Store C,40,7,2025-07-12,0,High
Carrot,Vegetable,Store D,50,8,2025-07-13,1,High
Bread,Bakery,Store A,50,7,2025-07-12,0,High
Croissant,Bakery,Store B,30,5,2025-07-12,0,High
Bagel,Bakery,Store C,45,6,2025-07-15,3,Medium
Donut,Bakery,Store D,25,4,2025-07-14,2,High
Rice,Grain,Store A,150,3,2025-07-20,8,Low
Pasta,Grain,Store B,120,4,2025-07-18,6,Low
Beans,Grain,Store C,90,2,2025-07-17,5,Low
Quinoa,Grain,Store D,70,1,2025-07-19,7,Low
Butter,Dairy,Store A,90,4,2025-07-14,2,High
Jam,Condiment,Store B,40,2,2025-07-30,18,Low
Honey,Condiment,Store C,35,1,2025-07-25,13,Low
Coffee,Beverage,Store D,80,5,2025-08-01,20,Low
Juice,Beverage,Store A,70,6,2025-07-22,10,Low
